,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,1.0,4.917423533811817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,2.7224197457306976,3.043868557939353,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,3.0944994609832728,2.414516558366133,2.5020631366508304,1.0,0.0,0.0,0.0,0.0,0.0
6,1.0,2.3950298857714896,2.4328261518910095,2.5830811225079726,2.4280481110590584,1.0,0.0,0.0,0.0,0.0
7,1.0,2.3819932329224187,2.2623761672813485,2.2894241292171436,2.3439861933428134,1.850554492573491,1.0,0.0,0.0,0.0
8,1.0,1.14736558655579,1.1488983500564678,1.1476727635092456,1.148225976514364,1.1124401709516887,1.1128415481857803,1.0,0.0,0.0
9,,,,,,,,,,
